ID,Word,Valence_mean,Valence_SD,Arousal_mean,Arousal_SD,Dominance_mean,Dominance_SD,Valence_mean_male,Valence_mean_female
1971,charter,5.55,1.61,3.84,2.23,5.74,2,6.33,4.91
1972,chase,3.77,2.29,6.6,2.72,4.68,2.77,4.62,2.56
1973,chaser,4.72,1.51,4.89,2.05,5.33,2.35,3.86,5.18
1974,chassis,5,1.49,3.86,1.88,5.38,2.27,5.6,4.4
1975,chaste,5.81,1.33,3.5,1.97,4.23,1.82,5.67,5.92
1976,chastity,4,2.03,4.52,2.27,5.62,2.48,4.89,3.2
1977,chat,5.75,1.52,4.27,2.51,6.22,1.65,6,5.62
1978,chateau,6.21,1.78,3.45,2.46,6.13,2.1,5.5,6.54
1979,chatter,5.9,1.95,4.44,2.65,5.95,1.93,5.22,6.42
1980,chatterbox,4.6,1.85,3.94,1.92,4.76,2.14,4.8,4.53
1981,chatty,4.42,1.98,4.59,2.15,5.42,1.95,4.33,4.5
1982,chauffeur,5.42,2.36,4.7,1.58,5.33,2.03,5.11,5.7
1983,chauvinist,2.6,1.14,4.78,2.39,4.41,2.24,2.4,2.67
1984,cheap,5.24,2.43,4.47,2.59,5.89,2.51,5.85,4.25
1985,cheapskate,3.76,2.19,2.8,1.94,5.32,2.71,3.83,3.73
1986,cheat,3.05,1.9,4.91,2.71,4.37,2.24,4.29,2.38
1987,cheater,2.95,1.79,5.95,2.58,4.09,2.29,3,2.88
1988,check,6.55,1.87,3.38,2.18,4.67,1.85,5.67,7
1989,checkbook,4.86,1.96,4.29,2.87,5.86,2.57,4.93,4.71
1990,checker,4.94,1.55,3.68,2.23,5.79,1.84,4.17,5.33
1991,checkered,4.71,1.76,3.57,1.85,4.33,1.65,5.4,4.5
1992,checkers,5.24,1.73,3.24,2,6,2.04,5.25,5.22
1993,checklist,6.4,1.54,3.55,2.31,6.48,2.24,5.75,6.56
1994,checkmate,5.14,2.33,4.65,2.94,5.52,3.04,6.5,4.6
1995,checkout,5.6,1.35,4.14,1.9,6,2.22,6,5.2
1996,checkpoint,4.44,1.65,4.67,2.08,4.3,2.44,5.5,4.15
1997,checkup,4.48,1.86,4.73,2.37,5.74,2.54,5,4.2
1998,cheek,5.9,2.43,3.47,2.8,5.38,2.27,6.83,5.53
1999,cheeky,5.7,1.95,5.47,2.12,5.57,2.46,5.2,5.87
2000,cheer,7.1,1.5,5.33,2.47,6.37,2.23,6.31,7.62
2001,cheerful,8,1.41,5.76,2.41,7.32,1.76,7.89,8.1
2002,cheerleader,5.79,2.3,5.5,2.5,6,2.07,7,4.7
2003,cheerleading,5.7,2.08,4.95,2.55,4.59,2.24,5.86,5.62
2004,cheery,7.21,1.65,5.86,2.41,6.2,1.91,6.33,7.38
2005,cheese,6.81,2.38,3.8,2.48,7.11,1.91,6.69,7
2006,cheeseburger,7.2,2.07,4.58,2.78,6.2,2.17,7.57,7
2007,cheesecake,7.67,1.59,3.43,2.48,6.22,2.67,7.89,7.5
2008,cheesy,4.9,2.36,4.09,2.35,4.86,2.35,3.2,5.44
2009,cheetah,6.27,1.72,5.31,2.71,5.43,2.61,6.67,6
2010,chef,6.15,1.81,3.05,1.81,6.67,2.11,6.14,6.15
2011,chemical,4.89,1.88,3.41,2.24,3.78,2.19,5.45,3.57
2012,chemist,4.95,1.63,3.95,1.77,5.4,2.18,5.17,4.67
2013,chemistry,5.74,1.82,4.59,2.42,5.12,2.33,5.33,5.92
2014,chemo,1.5,0.95,4.82,2.79,3.15,1.66,1.86,1.31
2015,chemotherapy,2.25,1.83,5.05,2.33,2.65,2.47,2.2,2.3
2016,cherish,6.75,1.65,4.14,1.88,7.32,1.45,6.22,7.18
2017,cherry,7.05,2.01,4.91,2.19,5.63,1.8,5.67,8.3
2018,cherub,5.29,2.08,3.22,1.78,5.62,2.11,4,5.69
2019,chess,5.05,2.07,2.86,2.06,5,2.43,5.67,4.94
2020,chest,5.18,1.56,4.95,2.52,6.58,1.92,5.15,5.22
2021,chestnut,5.68,0.95,3.43,2.31,5.63,1.98,5.75,5.62
2022,chew,5.58,1.77,3.8,2.24,6.48,1.86,5.55,5.14
2023,chewy,5.37,1.77,3.82,1.94,5.53,1.87,5.67,5.1
2024,chic,6.47,1.47,5.1,2.14,6.04,1.58,8,6.19
2025,chick,5.86,1.96,4.04,2.34,5.32,1.53,5.89,5.83
2026,chicken,6.17,1.86,3.2,2.57,5.22,1.99,5.38,6.8
2027,chicken pox,3.19,1.83,5.19,2.62,2.86,2.03,3.44,3
2028,chickenpox,2.76,1.51,4.8,2.66,3.11,2.73,2.44,3
2029,chief,5.83,2.12,3.25,2.15,4.89,2.47,4.88,6.6
2030,chiffon,6,1.98,4.68,2.54,5.14,1.93,5.8,6
2031,child,7.2,1.47,5.33,2.59,5.2,2.58,6.6,7.48
2032,childbirth,6.62,2.62,5.62,2.5,5.14,2.77,7.12,6.31
2033,childhood,6.65,1.87,3.73,2.31,5.3,2.79,6.88,6.53
2034,childish,4.89,2.18,5,1.95,4.38,2.22,5.33,4.5
2035,childless,3.57,1.83,3.29,2.37,5.8,2.07,3.5,3.62
2036,childlike,5.9,2.51,5.15,2.56,5.14,2.31,4.38,6.85
2037,children,6.36,2.11,5.09,2.56,5.95,2.52,6,6.57
2038,chili,4.45,2.28,4.62,1.77,6.3,2.11,4.5,4.4
2039,chill,5.16,2.09,3.25,2.12,5.55,2.74,6,5.2
2040,chilling,4.67,2.42,5.64,2.08,4.33,1.77,5.11,4.33
2041,chilly,4.41,1.79,5,2.43,4.74,1.91,4.5,4.15
2042,chime,6.05,1.23,4.1,2.17,6.21,2.16,6.2,5.9
2043,chimney,4.89,2,2.45,1.7,5.19,2.2,5.67,4.67
2044,chimp,6,1.38,3.8,2.4,4.95,1.56,6.14,5.92
2045,chimpanzee,6.39,2.2,3.9,2.27,5.28,1.51,6,6.54
2046,chin,5.07,1.6,3.84,2.06,5.48,1.88,5.07,5.07
2047,chinchilla,6.15,1.81,4.43,1.83,5.56,2.18,6.18,6.11
2048,chip,6.32,1.25,2.75,1.92,4.58,1.95,6.69,5.5
