ID,Word,Valence_mean,Valence_SD,Arousal_mean,Arousal_SD,Dominance_mean,Dominance_SD,Valence_mean_male,Valence_mean_female
1,aardvark,6.26,2.21,2.41,1.4,4.27,1.75,6.18,6
2,abalone,5.3,1.59,2.65,1.9,4.95,1.79,5.71,5.08
3,abandon,2.84,1.54,3.73,2.43,3.32,2.5,2.45,3.57
4,abandonment,2.63,1.74,4.95,2.64,2.64,1.81,2.17,2.85
5,abbey,5.85,1.69,2.2,1.7,5,2.02,4.75,6.12
6,abdomen,5.43,1.75,3.68,2.23,5.15,1.94,5.3,5.55
7,abdominal,4.48,1.59,3.5,1.82,5.32,2.11,4.36,4.58
8,abduct,2.42,1.61,5.9,2.57,2.75,2.13,2.38,2.5
9,abduction,2.05,1.31,5.33,2.2,3.02,2.42,2.67,1.77
10,abide,5.52,1.75,3.26,2.22,5.33,2.83,5,5.92
11,abiding,5.57,1.75,3.59,2.26,6.6,2.3,5.5,5.6
12,ability,7,1.59,4.85,2.74,6.55,2.48,7.2,6.93
13,abject,4,1.29,3.94,2.41,4.35,2.6,4.45,3.38
14,ablaze,5.15,1.79,6.75,2.12,4.58,2.39,5.12,5.17
15,able,6.64,1.79,3.38,2.25,6.17,2.62,6.67,6.53
16,abnormal,3.53,1.22,4.48,2.29,4.7,2.44,4.33,3.38
17,abnormality,3.05,1.81,5,2.62,3.96,2.5,2.55,4.14
18,abode,5.28,1.27,2.9,1.89,5.05,2.44,6,5.13
19,abolish,3.84,1.54,4.18,2.07,4.65,2.42,4.18,3.38
20,abominable,4.05,1.23,5.45,2.44,4.62,1.83,3.78,4.27
21,abomination,2.5,1.65,5.9,2.59,3.8,1.38,3,2.31
22,abort,3.1,1.37,5.8,2.44,3.38,2.21,2.91,3.33
23,abortion,2.58,1.84,5.43,2.38,4.73,2.95,2.8,2.5
24,abracadabra,5.11,2.52,5.27,2.64,4.96,1.97,3.5,5.92
25,abrasive,4.26,1.69,6.1,1.89,4.94,2.32,3.89,4.6
26,abreast,4.62,1.94,4.61,2.33,5.19,1.99,4.2,4.75
27,abrupt,3.28,1.64,5.23,2,3.75,1.8,3.4,3.23
28,abscess,2.79,1.58,4,2.38,3.95,2.31,2.67,2.53
29,absence,3.86,2.08,4.3,2.13,4.24,2.32,4.5,3.6
30,absent,4.1,1.55,3.72,2.48,4.21,2.37,3.89,4.25
31,absinthe,3.53,1.98,3.7,2.34,3.95,1.82,4.33,3.38
32,absolute,5.43,1.4,3.48,2.27,5.58,2.66,5.45,5.4
33,absolution,6.58,1.68,3.38,2.11,5.75,2.33,5.33,6.81
34,absolve,4.58,1.54,3.53,1.94,4.82,2.46,5,4
35,absorb,5.5,1.6,4.27,1.91,5.62,1.66,5,5.79
36,abstain,4.4,0.94,3.1,1.81,6.08,2.25,4,4.47
37,abstinence,3.43,1.63,3.15,2.37,5.64,2.85,4,3.2
38,abstract,5.25,1.59,3.96,2.9,5.53,2.59,5.43,5.15
39,absurd,4.45,1.92,4.02,2.06,5.06,2.39,4.57,4.36
40,absurdity,4.06,2.18,4.7,2.36,5.37,2.29,3.78,4.33
41,abundance,6.67,1.5,4.72,2.7,5.66,2.19,6.67,6.67
42,abundant,7.55,1.39,4.21,2.7,5.81,1.88,7.64,7.44
43,abuse,1.53,1.07,6.21,2.17,2.9,2.17,1.67,1.46
44,abusive,2.05,1.7,5.27,2.43,3.58,2.5,2,2.09
45,abysmal,3.45,1.39,3.91,1.98,3.76,1.64,2.67,4.09
46,abyss,3.9,1.51,4.85,2.41,4,2.68,4.33,3.73
47,academic,6.61,1.54,3.32,2.23,6.21,2.13,6.17,6.83
48,academy,5.32,1.89,3.77,2.16,5.38,1.71,4.83,5.54
49,accelerant,4.59,1.59,4.81,2.14,6.04,2.01,4.11,4.92
50,accelerate,6.1,1.48,6.04,1.77,6.15,2.07,6,6.2
51,accelerated,6.21,1.55,4.75,2.67,6.29,1.92,6,6.36
52,acceleration,6.19,1.54,6.73,2.1,5.76,2.05,6.56,5.92
53,accelerator,5.63,1.16,5,2.45,6.65,1.84,6,5.12
54,accent,6.48,1.54,4.95,2.67,5.36,2.47,6.5,6.46
55,accept,6.39,1.65,2.8,2.26,5.94,2.13,5.62,7
56,acceptable,6.59,1.53,3.65,2.33,6.58,1.92,6.88,6.23
57,acceptance,6.84,1.31,4.3,2.82,6.49,2.43,6.92,6.71
58,access,6.68,1.39,5.3,2.32,6.89,2.18,6.46,7
59,accessible,6.68,1.38,3.2,2.42,6.58,2.24,6.12,7.09
60,accessory,5.35,1.9,4.22,2.69,5.83,2.43,5.8,5.2
61,accident,2.55,1.25,4.93,2.56,3,2.11,2.55,2.55
62,accidental,3.46,1.25,4,2.47,3.41,2.59,3.38,3.5
63,acclaim,6.1,1.61,3.95,2.01,5.77,1.88,6,6.17
64,accommodate,6.35,1.73,3,1.61,6.27,1.96,6.4,6.33
65,accommodation,6.76,1.7,4.72,2.07,6,2.29,6.88,6.69
66,accompany,5.47,1.22,3.85,1.84,5.63,2.36,5,5.56
67,accomplice,4.6,1.39,4.5,2.61,5.2,2.5,5.33,4.47
68,accomplish,7.45,1.15,5.16,2.81,7.27,1.52,7.43,7.46
69,accomplishment,8.05,0.86,4.96,2.3,6.5,2.44,7.88,8.15
70,accord,6.38,1.56,2.85,1.9,5.64,2.89,6.17,6.47
71,accordion,5.26,2.08,2.94,2.21,5.21,2.11,6,5
72,account,5.39,1.61,3.76,2.49,5.06,2.21,4.75,5.9
73,accountability,4.89,1.94,3.7,2.27,6.55,2.46,5.67,4.67
74,accountable,5.7,1.69,4.2,1.96,5.57,2.29,5.5,5.79
75,accountant,5.19,1.69,3.81,2.18,5.72,2.05,5.5,4.78
76,accounting,4.42,2.09,3.68,2.4,4.48,2.21,4.73,4.43
77,accumulate,6.33,2,2.73,2.27,6.15,1.83,6,6.5
78,accuracy,6.32,1.7,3.33,2.18,6.74,1.76,6.27,6.14
79,accurate,7.42,1.57,4.35,2.25,6.47,1.93,6.89,7.9
80,accursed,3.21,1.36,5.33,2.13,4.13,2.3,3,3.25
81,accusation,3.38,1.75,5.48,2.23,3.62,1.92,3.45,3.3
82,accuse,2.68,1.63,5.32,2.08,4,2.32,2.83,2.62
83,ace,6.37,1.34,4.64,2.38,6.61,1.84,8,6.06
84,acetylene,4.11,1.63,3.67,2.06,4.7,1.84,4.33,4.06
85,ache,3.27,2.01,4.3,2.26,4,2.72,3.29,3.32
86,achieve,7.75,1.16,4.7,2.96,6.61,2.44,7.25,8.08
87,achievement,7.28,2.15,5.57,2.17,7.17,1.72,8,6.85
88,achy,3.15,1.46,4.48,1.89,4.62,2.5,3.2,3.1
89,acid,3.26,2.02,4.77,2.37,4.26,2.43,3,3.38
90,acknowledge,6.43,1.86,3.26,2.18,6.11,2.42,6.22,6.58
91,acknowledgement,6.53,1.5,3.3,2.3,6.71,1.82,6.25,6.73
92,acne,2.18,1.47,4.47,2.5,3.44,1.96,1.8,2.33
93,acorn,5.85,1.76,4.42,2.32,4.77,2.31,5.38,6.17
94,acoustic,7.1,1.62,4,2.43,5.79,1.58,7.44,6.82
95,acoustics,6.33,1.2,3.19,1.83,5.86,1.67,6.11,6.5
96,acquaintance,5.58,1.35,3.24,1.64,5.29,1.85,5.55,5.62
97,acquire,5.5,1.76,4.86,2.01,7,1.89,4.78,6.09
98,acquisition,5,1.95,4.36,2.44,5.93,2.34,5.14,4.92
99,acquit,5.6,1.6,4.56,2.71,5.45,1.57,6.2,5.4
100,acquittal,6.19,1.72,4.95,2.31,5.03,2.36,6.62,5.92
101,acre,5.53,1.71,2.73,1.7,4.94,2.29,5.45,5.14
102,acreage,5.25,1.74,3.74,2,5.52,1.94,5,5.33
103,acrobat,6,1.3,4.9,2.14,5.42,2.24,5.67,6.06
104,acrylic,5.52,1.81,3.73,2.31,5.42,2.15,5.55,5.5
105,act,5.64,1.71,4.19,2.29,6.11,2.03,6.17,5.4
106,action,6,1.64,6.19,2.56,6.17,2.01,6,6
107,action figure,6.18,1.85,4.65,2.39,6.71,2.24,6.8,5.92
108,activate,5.7,1.77,3.78,2.54,6.28,2.13,5.82,5.45
109,activation,6.14,1.53,3.52,2.33,6.88,1.62,6.56,5.83
110,active,6.47,1.35,5.62,2.09,6.32,2.21,8,6.19
111,activist,6.24,1.84,5.26,2.33,5.86,1.9,5.8,6.4
112,activity,6.21,1.75,4.86,2.48,6.45,1.67,6,6.25
113,actor,6.15,1.27,4.35,2.28,5.64,1.99,6.14,6.15
114,actress,5.42,1.22,5.43,2.18,4.65,2.4,5.33,5.44
115,actual,6.22,1.48,2.75,1.94,5.54,1.89,6.2,6.23
116,actuality,5.4,1.47,5.55,2.28,5.24,2.07,6.09,4.56
117,acupuncture,4.81,2.23,4.9,2.63,4.77,2.62,5.17,4.67
118,acute,5.1,1.94,5.09,1.95,5.11,2.33,5.44,4.82
119,ad,4.11,1.45,3.33,2.17,5.18,2.16,4.55,3.5
120,adage,5.55,0.83,3.38,1.88,5.13,2.07,5.67,5.53
121,adamant,5.45,1.92,5.74,2.4,6.38,2.38,5.6,5.44
122,adapt,5.84,1.3,3.9,2.36,5.75,2.43,5.67,5.88
123,adaptation,5.82,1.84,3.55,1.92,6.04,2.25,6.08,6
124,add,6.23,1.77,4,2.38,6.79,2.07,6.08,6.44
125,adder,4.45,1.47,3.24,2.36,4.41,1.37,4.6,4.4
126,addict,2.86,1.93,5.33,2.44,2.74,2.2,3.33,2.5
127,addicted,2.89,2.11,4.77,2.33,2.84,1.89,3.33,2.5
128,addiction,3.52,1.81,4.48,2.87,3.84,2.63,4.38,3
129,addictive,3.52,1.72,4.82,2.7,4.4,2.82,4.38,3
130,additional,6.15,1.76,3.61,2.17,4.95,1.99,6,6.2
131,address,6.11,1.64,3.05,2.06,4.89,2.05,5.75,6.4
132,adept,6.14,1.56,4.17,2.35,6.5,1.66,5.55,6.8
133,adequate,4.7,1.56,3.64,2.13,6.89,1.57,4.33,5
134,adhere,5.17,2.12,3.52,2.18,3.9,1.86,6,5
135,adhesive,5.84,1.5,3.2,1.99,4.88,2.36,5.92,5.67
136,Adidas,5.77,1.38,4.18,2.74,6.3,2.56,6.25,5.5
137,adjacent,5.15,1.27,2.78,1.96,4.27,1.7,5.2,5.13
138,adjective,5.95,1.28,3.64,2.1,6.11,2.18,5.89,6
139,adjoining,5.06,1.26,3.52,2.04,4.65,1.92,5,4.71
140,adjourn,5.5,1.62,3.15,1.93,5.75,2.36,5.5,5.6
141,adjust,5.76,1.67,3,2.07,6,1.88,6.56,5.17
142,adjuster,4.25,1.41,3.5,1.74,5.84,1.77,4.22,4.27
143,adjustment,5.53,1.22,4.59,2.36,4.53,1.93,5.33,5.7
144,admin,4.37,1.71,3.64,2.5,5.83,2.48,3.67,4.69
145,administer,4.4,1.79,3.86,2.23,6.33,2.25,4.44,4.36
146,administration,4.45,1.36,3.23,2,4.77,2.23,4.3,4.6
147,administrative,4.79,1.62,3.21,2.2,5.9,2.17,5.33,4.8
148,administrator,5.32,1.59,4.74,2.35,5.48,2.6,5.8,5.19
149,admirable,7,1.97,4.57,2.63,5.81,2.66,6.2,7.25
150,admiral,4.8,1.32,4.05,2.44,5.68,2.76,4.33,4.88
151,admiralty,6.16,2.12,4.27,2.33,6.08,1.79,5.67,6.38
152,admiration,7.58,1.98,5.52,2.19,6.11,1.79,7.33,7.8
153,admire,7.35,1.27,5,2.27,7.33,1.65,7.33,7.36
154,admired,7.25,1.37,5.95,2.16,6.94,2.07,7.8,7.07
155,admirer,7.05,1.43,6,2.25,6.27,1.55,6.89,7.17
156,admissible,5.16,1.61,2.9,1.71,6.21,1.9,5,5.13
157,admission,5.91,1.34,3.69,2.02,5.54,2.52,6.33,5.62
158,admit,5.56,1.79,3.35,2.43,4.56,2.12,4.75,6.2
159,admittance,6.29,1.23,3.6,1.5,5.96,2.42,6.33,6.22
160,ado,4.82,0.96,3.33,2.24,4.48,1.36,4.86,4.75
161,adobe,5.25,1.83,3.89,2.32,5.55,1.79,5.6,5.13
162,adolescence,6,1.65,5.1,2.53,4.44,2.34,6,6
163,adolescent,5.38,1.91,4.2,2.67,4,2.56,5.5,5.33
164,adopt,6.9,1.61,4.71,2.18,5.45,2.42,6.5,7.15
165,adoption,6.68,1.92,4.82,2.44,5.62,2.5,6.56,6.8
166,adoptive,5.67,1.39,4.4,2.14,5.59,2.36,5.38,5.85
167,adorable,7.4,1.6,4.66,2.79,6.83,1.92,7.4,7.4
168,adoration,6.47,2.06,4.36,2.28,6.54,1.93,5.33,7
169,adore,7.37,1.38,5.96,2.33,6.26,1.73,7,7.7
170,adoring,7.38,1.32,4.86,2.65,6.29,1.9,6.78,7.83
171,adrenalin,6.33,1.91,5.05,3.03,4.85,2.19,6,6.64
172,adrenaline,6.61,2.03,5.95,2.58,5.72,2.44,7.4,6.31
173,adrift,4.36,1.6,3.19,1.78,4.09,2.41,4.75,3.67
174,adult,5.9,2.1,4.36,2.5,6.46,2.07,5.94,5.88
175,adulterer,2.77,1.97,5.68,2.85,3.2,2.55,2.86,2.73
176,adultery,2.81,2.06,6.42,2.48,3.33,2.46,2.83,2.8
177,adulthood,5.05,2.09,4.28,2.53,6.11,2.54,5.56,4.67
178,advance,6.11,2,4.62,2.54,6.12,2.05,5.4,6.38
179,advanced,6.14,1.42,3.83,2.06,6.96,1.46,6.09,6.2
180,advancement,7.47,1.54,5.81,2.04,6.38,2.01,7.29,7.58
181,advantage,6.71,1.62,3.95,2.36,7.19,1.94,7.44,6.17
182,advantageous,6.79,1.4,5.7,2.08,6.22,2.28,7.67,6.62
183,adventure,7.4,1.78,6.36,2.4,6.36,2.05,7.35,7.45
184,adventurer,7,1.76,5.27,2.9,5.83,2.62,7.78,6.42
185,adventurous,7.37,1.01,6.67,2.06,5.71,2.76,7.18,7.62
186,adversary,4.55,2.11,4.41,2.04,5,2.3,5.38,4
187,adverse,3.68,1,3.89,2.22,3.35,1.87,3.64,3.75
188,adversity,4.26,2.47,3.82,2.61,4.63,1.95,5.5,3.69
189,advertise,5.16,1.68,4.29,2.31,5.74,1.54,4.4,5.46
190,advertisement,4.3,1.49,4.14,2.46,5.84,2.22,3.67,4.82
191,advertising,4.68,2.19,3.25,2.02,5,2.47,5.33,4.67
192,advice,5.78,1.99,3.05,2.38,5.83,1.38,4.62,6.7
193,advisable,5.62,1.66,4.36,2.19,5.86,2.2,5.6,5.62
194,advise,5.44,1.39,3.38,2.27,6.41,1.59,5.38,5.56
195,advisement,4.55,1.53,4.04,2.36,5.92,2.3,5,4.23
196,adviser,5.68,2.11,3.36,1.71,6.18,2.11,6,5.4
197,advisor,4.74,1.45,3.19,1.63,5.7,1.59,5,4.69
198,advisory,4.95,1.5,4.05,2.19,4.19,1.74,5.45,4.4
199,advocate,5.25,1.48,4.59,2.06,7.26,1.24,5.56,5
200,aerial,6.04,1.4,3.67,2.2,5.17,2.28,6.33,5.94
201,aerobics,6,1.11,5.1,2.17,5.7,2.4,6,6
202,aerodynamic,6.16,1.38,4.33,2.24,5.1,2.34,6,6.19
203,aerospace,5.79,1.69,4.52,2.29,5.17,2.25,6.4,5.62
204,aesthetic,5.43,1.54,2.88,2.21,5.5,2.16,5.38,5.46
205,affair,3.1,2.53,5.4,2.46,5.89,2.87,4,1.62
206,affect,5.65,1.23,3.61,2.23,6.39,1.5,5.62,5.67
207,affection,7.89,1.05,5.64,2.63,6.6,1.83,8,7.85
208,affectionate,7.23,1.77,4.77,2.65,6.9,1.94,6.88,7.43
209,affidavit,4.38,1.2,3.73,2.43,4.04,2.24,4.2,4.55
210,affiliation,5.32,0.99,3.9,1.97,5.3,2.14,4.4,5.59
211,affinity,5.86,1.32,4.29,2.33,6.55,1.9,5.93,5.75
212,affirmation,5.95,2.37,3.95,1.67,6.53,2.26,5.2,6.7
213,affirmative,5.94,2.04,3.64,2.13,6.78,1.88,6.6,5.43
214,affliction,3.76,1.92,5.1,2.25,4.17,2.38,4,3.62
215,afford,6.56,2.09,4.33,2.82,6.44,2.04,5.75,7.2
216,affordable,7.52,1.44,4.11,2.28,6.16,2.58,7.33,7.78
217,affront,4.53,1.17,4.5,2.46,5.04,1.9,4.69,4.17
218,afire,6.05,1.36,5.41,2.48,4.38,2.2,6.38,5.83
219,afloat,5.57,1.33,4.13,2.24,4.96,1.95,5.45,5.7
220,aforementioned,5.21,1.96,3.5,2.24,4.96,2.25,5.09,5
221,afraid,2.25,1.16,5.12,2.57,2.71,1.9,1.67,2.35
222,african,6.42,1.74,4.11,2.28,5.8,1.94,5.67,6.53
223,afterlife,5.53,2.52,4.32,2.9,5.86,2.92,6.36,4.86
224,aftermath,4.29,1.82,5.38,2.46,4.23,1.48,4.55,4
225,afternoon,6.68,1.43,3.48,2.09,5.71,1.53,6.5,6.73
226,aftershave,5.55,1.57,3.5,2.44,5.81,2.5,6,5.31
227,age,5.78,1.93,3.71,2.59,4.67,2.4,5.88,5.7
228,agency,5.14,1.46,3.17,1.97,4.89,2.37,6,4.5
229,agenda,5.05,2.01,3.62,2.26,5.36,2.52,5.12,5
230,agent,5.23,1.95,3.43,2.13,5.65,2.37,4.83,5.47
231,aggravate,2.55,1.19,5.9,2.19,4.85,2.56,2.3,2.8
232,aggravation,2.48,1.12,5.35,2.81,4.45,2.56,2.83,2.33
233,aggression,3.18,2.02,5.69,2.49,4.65,2.31,2.67,3.54
234,aggressive,3.08,1.5,5.87,2.53,5.49,2.59,3,3.13
235,aggressiveness,3.58,2.12,6.43,2.11,5.21,2.3,3.78,3.4
236,aggressor,2.8,1.01,6.55,1.57,4.57,2.73,2.71,2.85
237,agile,5.95,2.2,4.95,2.01,6.09,2.11,6.44,5.5
238,agility,6.55,1.19,4.21,2.29,6.41,2.02,7,6
239,aging,3,1.41,3.8,2.88,3.06,2.54,2,3.21
240,agitate,3.36,1.68,5.82,2.52,4.55,2.39,4.14,3
241,agitation,2.84,1.42,4.75,2.38,3.29,1.76,3.08,2.33
242,aglow,5.84,1.5,4.83,2.73,5.59,2.09,5.55,6.25
243,agonizing,2.68,1.49,6.71,1.95,4.04,2.01,2.8,2.62
244,agony,2.46,1.64,5.78,2.78,4,2.81,2.72,2.26
245,agree,7.17,1.58,3.62,2.09,6.94,1.3,6.88,7.4
246,agreeable,6.9,1.94,3.55,2.21,6.97,1.74,7.6,6.2
247,agreement,6.75,2.51,4.05,2.22,6.48,1.81,6.78,6.73
248,agricultural,5.5,2.41,3.55,2.18,5.74,1.66,5.6,5.46
249,agriculture,6.1,0.91,3.05,2.4,6,1.87,6.33,6.06
250,ahoy,5.58,1.64,3.95,2.2,5.45,1.88,6,5.5
251,aid,6.29,2.05,4.55,2.35,5.95,2.27,5.67,6.53
252,aide,5.6,1.19,4,1.66,7.05,1.47,5.22,5.91
253,aids,3.52,2.2,3.75,2.74,4.88,2.71,3.25,3.69
254,AIDS,1.33,0.8,5,2.6,3.55,2.77,1,1.47
255,ailing,2.95,1.43,4.52,2.48,4.15,1.42,3.12,2.86
256,ailment,3,1.37,3.68,2.25,3.14,2.12,3,3.14
257,aim,5.95,1.76,4,2.37,6.5,2.35,5.79,6.25
258,air,6.71,1.85,3.25,2.55,5.72,2.8,6.75,6.67
259,airbag,5.4,1.93,3.64,1.97,4.81,2.32,5,5.73
260,airborne,5.25,1.86,3.52,1.91,4.48,2.24,4.75,5.38
261,aircraft,6.3,1.42,4.86,2.46,5.71,2.45,6.33,6.27
262,aircraft carrier,5.25,1.8,4.64,2.59,5.85,2.32,6.29,4.69
263,airfield,5.74,1.48,4.38,2.22,4.82,2.02,6.2,5.69
264,airhead,4.1,2,4.3,2.32,4.19,2.64,4,4.13
265,airline,5.36,1.87,4.12,2.57,4.92,2.28,5.33,5.38
266,airliner,6.05,1.72,4,2.51,4.25,2.44,5.83,6.15
267,airlock,4.85,1.09,4.23,2.29,5,2.29,5,4.73
268,airplane,5.25,1.62,5.62,2.42,4.12,2.57,5.33,5.24
269,airport,6,2.14,5.5,2.78,5.79,2.84,6.69,4.88
270,airship,5.63,1.34,4.88,2.47,4.43,2.15,6.12,5.27
271,airspace,5.5,1.29,4.4,2.16,4.91,1.53,5.2,5.58
272,airspeed,4.95,1.51,4.33,2.79,5.24,2.14,5.55,4.12
273,airstrip,4.76,1.48,3.83,2.68,5.1,2.53,5.25,4.46
274,airtight,5.1,1.86,3.3,2.01,4.76,2.41,4.6,5.27
275,airway,4.95,1.81,4,1.97,3.95,2.09,5,4.94
276,aisle,5.17,1.65,2.5,1.44,4.87,2.12,5.2,4.71
277,ajar,5,1.55,3.26,2.32,5.28,1.9,5.22,4.83
278,aka,4.63,1.46,3.39,2.33,4.4,2.13,5.09,4
279,alabaster,5.5,1.43,3.95,2.06,5.35,2.5,6,5
280,alarm,3.86,1.98,6.85,2.39,6.58,2.73,4.46,2.88
281,alarm clock,3.47,1.47,5.36,2.77,4.82,2.2,3.89,3.1
282,alarming,3.52,2.04,6.5,2.09,4.05,2.2,4.5,3.13
283,albatross,5.68,2.31,3.09,1.6,4.91,1.95,6,5
284,albino,4.9,1.51,3.09,1.6,4.05,1.83,5,4.83
285,album,6.19,1.78,5.63,2.63,5.86,2.1,5.2,6.53
286,alcohol,4.11,2.08,5.17,1.86,4,2.5,4.82,3.12
287,alcoholic,2.49,1.54,5.48,2.69,3.27,2.45,3,2.13
288,alcoholism,2,1.61,5,2.45,3,2.53,2.62,1.62
289,alcove,5.5,1.91,3.32,2.39,5.33,2.28,4.78,6.09
290,alderman,4.44,2.12,3.05,1.89,5.04,1.36,3.8,4.69
291,ale,5.95,1.31,4.1,2.1,5.17,2.08,5.67,6
292,alert,5.38,1.72,5.14,2.41,6.58,2.07,5.06,5.58
293,alfalfa,4.79,1.9,3.67,1.91,5.73,1.83,5.33,4.3
294,algebra,5.4,2.28,4.6,2.66,4.54,2.44,6.14,5
295,algorithm,5.3,1.59,3.7,1.87,4.04,2.13,4.67,5.41
296,alias,5,1.03,4.71,2.05,5.94,2.37,5.2,4.8
297,alibi,4.16,1.89,4.5,1.88,5.17,2.3,4.08,4.33
298,alien,4.45,1.82,4.86,2.21,3.56,2.66,4.91,3.89
299,alienate,2.79,1.62,4.27,1.88,3.71,1.68,2.83,2.77
300,alienation,2.53,1.17,5.14,1.88,3.33,1.69,2.83,2.38
301,alight,5.67,1.43,3.86,2.03,5.88,2.25,5.75,5.56
302,align,5.95,1.75,3.32,1.91,5.95,1.81,6.18,5.14
303,alignment,6,1.48,3.92,2.34,6.32,2.23,6.62,5.62
304,alimony,3.86,1.74,3.09,2.45,4.32,2.48,3.42,4.44
305,alive,6.57,2.33,5.93,2.88,6.77,2.26,6.62,6.53
306,allegation,3.26,1.24,5.9,1.3,3.96,2.5,4.67,3
307,alleged,3.62,1.86,5.09,2.11,4.27,1.64,4.09,3.1
308,allegiance,5.8,1.67,5.17,2.21,7.05,1.32,5.89,5.73
309,allegro,5,1.65,3.89,2.95,5.36,2.01,5.2,4.93
310,allergic,3,1.86,5.4,2.44,3.81,2.43,2.91,3.11
311,allergy,2.9,1.55,3.9,2.17,3.5,2.19,2.4,3.07
312,alleviate,6.25,1.41,3.45,2.32,5.84,1.64,6.89,5.73
313,alley,4.17,1.63,4.08,2.28,4.63,1.83,5,3.65
314,alleyway,3.46,1.72,3.7,2.69,5.2,1.94,4.4,2.79
315,alliance,6.14,1.77,4.4,2.74,5.78,2.19,5.75,6.38
316,allied,5.95,1.36,3.38,1.94,5.4,2.52,6.67,5.82
317,alligator,4.23,1.88,5.36,2.3,4.1,2.49,3.75,4.5
318,allow,6.39,1.75,2.95,1.75,6.11,2.54,5.38,7.2
319,allowance,6.74,1.37,4.05,2.11,5.7,2.2,7.33,6.62
320,alloy,5.2,1.85,3.32,2.06,5.9,1.64,5.78,4.73
321,allure,6.9,0.97,4.25,2.55,5.77,1.66,6.57,7.08
322,alluring,6.74,1.41,4.35,2.46,5.86,2.14,6,6.92
323,ally,6.05,2.4,4.8,2.44,6.84,2.12,5.85,6.33
324,almanac,5.55,1.19,3.24,2.05,5.88,2.01,4.67,5.71
325,almighty,6.15,2.16,4.59,2.61,5.81,2.82,6.14,6.15
326,almond,6.05,1.85,2.89,2.13,6.46,1.82,5.82,6.33
327,aloha,7.1,1.26,3.82,2.13,6.33,1.68,6.89,7.25
328,alone,3.85,2.23,4,2.72,4.5,2.59,2.67,4.06
329,aloof,4.59,2.16,3.09,1.99,4.63,2.29,5.5,4
330,alpha,5.5,2.24,3.67,2.63,6.32,2.48,5.5,5.5
331,alphabet,5.95,1.94,3.15,2.25,5.79,2.62,6.17,5.87
332,alphabetical,6.32,1.42,3,1.7,6.14,2.21,6.2,6.46
333,alpine,5.84,0.76,3.52,1.89,5.74,2.4,5.67,5.88
334,altar,5.59,2.15,4.05,2.62,5.68,2.8,5.43,5.88
335,altar boy,4.76,1.41,3.11,2.13,4.62,2.6,4.17,5
336,alter,4.57,1.29,4.17,2.19,5.57,2.38,4.4,4.62
337,alteration,5.05,1.84,4.05,2.35,6.15,2.01,4.67,5.07
338,altercation,3.61,1.64,5.62,2.75,4.4,2.6,3.38,3.73
339,alternate,5.15,0.81,3.48,1.89,5.2,2.31,5,5.18
340,alternating,5.37,1.54,4.27,2.14,5.53,2.12,5.33,5.4
341,alternative,5.33,1.43,3.61,2.74,6.33,2.2,5.22,5.42
342,altimeter,4.5,0.96,3.61,2.1,5,2.16,4.88,4.38
343,altitude,5.27,1.72,4.15,2.52,5.46,2.28,5.44,5.15
344,aluminum,5.1,1.68,4.05,2.24,6,1.67,5.83,4.79
345,alumnus,4.95,1.5,3.23,2,6.1,1.67,5.11,4.83
346,alzheimers,2.26,1.82,4.5,2.35,2,1.68,1.82,2.14
347,amaretto,6,1.9,4.04,2.4,5.19,2.25,5.8,6.06
348,amateur,4.58,1.17,3.55,2.09,5.25,2.34,4.33,4.8
349,amaze,7.24,2,5,2.25,5.83,2.37,7.42,7
350,amazed,7.55,0.89,5.95,2.68,6.11,2.26,8.14,7.23
351,amazement,7.29,1.9,6.3,2.51,6.43,1.99,6.57,7.59
352,amazing,7.72,1.32,6.05,2.52,6.83,2.09,7.38,8
353,ambassador,5.5,1.54,3.91,2.16,6.2,2.19,6,5.21
354,amber,6.15,1.79,3.36,1.84,6.21,1.58,6.67,5.73
355,ambience,6.35,1.87,3.85,2.87,5.57,2.27,6.5,6.29
356,ambient,6.33,1.8,3.2,2.53,4.86,2.41,7,6.07
357,ambiguous,5.16,1.64,4,2.61,5.12,2.14,5,5.3
358,ambition,7.28,1.62,4.86,2.38,6.36,2.04,7.56,7.21
359,ambitious,6.33,1.74,5.76,1.81,5.88,2.28,6.33,6.33
360,ambrosia,5.95,1.94,4.05,2.31,5.67,2.42,5.67,6.07
361,ambulance,3.71,2.11,5.33,2.94,3.29,2.14,4.29,3.29
362,ambush,3.17,1.89,5.58,2.81,3.96,2.35,2.2,3.54
363,amend,5.85,1.87,3.06,2.1,4.96,2.42,5.8,5.87
364,amendment,5.6,1.19,3.5,1.92,4.77,1.54,5.4,5.67
365,amends,6.68,1.8,3.95,2.21,5.96,2.18,6.62,6.83
366,amiable,6.7,1.42,2.85,1.63,6.14,2.08,6.71,6.69
367,amino,4.45,1.88,3.83,1.97,5.73,2.29,4.5,4.42
368,ammo,4.18,2.24,5.53,2.34,5.52,2.42,4.8,4
369,ammonia,3.74,1.69,3,2.02,3.83,2.19,3.27,4
370,ammonium,4.06,1.63,4.37,2.61,4.84,1.6,4.2,4
371,ammunition,4.59,2.5,5.7,2.27,5.95,2.61,5,4
372,amnesia,3.43,1.69,5.04,2.48,3.08,2,3.64,3.2
373,amnesty,5.38,2.22,3.86,2.33,6,2.32,6.08,4.44
374,amorous,5.95,1.88,4.21,3.05,6,2.08,6.12,5.85
