language_no	language_ru	language	language_external	expert_ru	consultant_ru	expert	consultant	data_collection_year	initial_release_date	last_release_date	macroarea	family (WALS)	genus (WALS)	latitude	longitude	number_nominal_cases	source_of_information	contact_language	glottocode	comment_on_glottocode	WO_WALS	WO_comment
97	телугу	Telugu	Telugu	Елизавета Александровна Забелина		Elizaveta Zabelina		2020, 2023	May 25, 2023	June 6, 2024	South Asia	Dravidian	Dravidian	16.45	78.7	7	glottolog; комментарий Лизы	English	telu1262		SOV	
98	словацкий	Slovak	Slovak	Мартин Галис, Кирилл Александрович Кожанов	Мартин Галис	Martin Gális, Kirill Kozhanov	Martin Gális	2023	June 26, 2023	January 17, 2024	Europe	Indo-European	Slavic	48.55	18.78	6	glottolog; wikipedia	English	slov1269		SVO	Extrapolation
99	курдский (сорани)	Kurdish_Sorani	Sorani Kurdish	Мансур Амаде		Mansour Amadeh		2023	June 26, 2023	October 7, 2023	West Asia and the Caucasus	Indo-European	Iranian	36.77	45.73	1	glottolog; wikipedia	English	cent1972	This code is that of Central Kurdish, of which Sorani is a part	SOV	Extrapolation
100	манинка (восточный)	Maninka_Eastern	Eastern Maninka	Валентин Феодосьевич Выдрин		Valentin Vydrin		2023	August 2, 2023	December 8, 2023	Sub-Saharan Africa	Mande	Western Mande	10.38	-9.3	1	glottolog; общее знание	French	east2426	This code belongs to Eastern Maninkakan	SOV	Extrapolation
101	северноюкагирский	Yukaghir_Northern	Northern Yukaghir	Самона Николаевна Курилова, Мария Юрьевна Пупынина		Samona Kurilova, Maria Pupynina		2023	August 4, 2023	June 6, 2024	North and Central Asia	Yukaghir	Yukaghir	70.5	157.85	11	glottolog; Samona Kurilova's comments	Russian	nort2745		SOV	
102	мегрельский	Mingrelian	Mingrelian	Александр Александрович Ростовцев-Попель		Alexander Rostovtsev-Popiel	Zurab Apakiʒe (primary), K’onst’ant’ine Nač’q’ebia, Iza Nač’q’ebia, Raisa Pircxelava, Beniamin Ǯobava	2023	August 5, 2023	January 17, 2024	West Asia and the Caucasus	Kartvelian	Kartvelian	42.51	41.87	9	glottolog; grammar notes	English, Georgian	ming1252		SOV	Extrapolation
103	тагальский	Tagalog	Tagalog	Ровена Гарсия, Рени Эспайос		Rowena Garcia, Rhenee Espayos		2023	August 11, 2023	December 13, 2023	East and Southeast Asia	Austronesian	Greater Central Phillipine	14.06	121.75	3	glottolog; wikipedia	English	taga1270		VSO	
104	хваршинский	Khwarshi	Khwarshi	Ирина Михайловна Горбунова, Юрий Александрович Чернов		Irene Gorbunova, Yura Chernov		2023	September 15, 2023	December 28, 2023	West Asia and the Caucasus	Nakh-Daghestanian	Avar-Andic-Tsezic	42.27	46	46	glottolog; wikipedia	Russian	khva1239		SOV	Extrapolation
105	кумыкский	Kumyk	Kumyk	Тагир Исмуллаевич Гаджиахмедов, Михаил Александрович Даниэль, Наталья Николаевна Логвинова		Michael Daniel, Tagir Gadzhiakhmedov, Natalia Logvinova		2023	September 30, 2023	January 17, 2024	West Asia and the Caucasus	Altaic	Turkic	43	47	6	glottolog; p.c. (Daniel)	Russian	kumy1244		SOV	Extrapolation
106	лазский	Laz	Laz	Александр Александрович Ростовцев-Попель		Alexander Rostovtsev-Popiel		2023	October 13, 2023	December 22, 2023	West Asia and the Caucasus	Kartvelian	Kartvelian	41.5	41.91	8	glottolog; Rostovtsev-Popiel, p.c.	German	lazz1240		SOV	Extrapolation
