language,genus,fam,phonemes,con,son,obs,vow,monoph,qua,ton,population
shb,Yanomam,yano,25,13,8,5,12,12,6,0,470
shi,Berber,afas,31,28,16,12,3,3,3,0,3000000
shn,Kam-Tai,taik,25,20,9,11,5,5,5,0,3200000
shs,Interior Salish,sali,44,37,21,16,7,7,7,0,500
sid,Eastern Cushitic,afas,35,25,7,18,10,10,5,0,2900000
sin,Indic,ieur,53,37,13,24,16,16,7,0,15500000
sja,Choco,choc,31,17,3,14,14,14,7,0,3500
sjr,Oceanic,anes,22,15,7,8,7,7,7,0,2080
sjw,Algonquian,algi,19,13,5,8,6,6,4,0,200
skd,Miwok,penu,21,15,6,9,6,6,6,0,7
skf,Tupari,tupi,35,15,7,8,20,20,5,0,23
skr,,ieur,83,48,15,33,35,18,9,0,13800000
skv,Western Skou,skoo,23,13,6,7,7,7,7,3,700
slc,SÃ¡liba,slvn,32,22,6,16,10,10,5,0,1310
sld,,ncon,51,22,7,15,27,27,9,2,13000
slu,Central Malayo-Polynesian,anes,19,14,6,8,5,5,5,0,8000
slv,Slavic,ieur,37,21,6,15,16,16,8,0,1730000
sma,Saami,urlc,45,39,22,17,6,6,6,0,300
smq,East Strickland,trng,18,12,4,8,6,6,6,0,900
sna,Bantoid,ncon,42,37,8,29,5,5,5,0,10700000
snd,Indic,ieur,54,44,15,29,10,10,10,0,18500000
snk,Western Mande,ncon,52,34,12,22,14,14,5,4,700000
snn,Tucanoan,tucn,30,18,9,9,12,12,6,0,300
snv,Northwest Malayo-Polynesian,anes,46,38,19,19,8,8,7,0,1110
som,Eastern Cushitic,afas,52,30,9,21,20,20,10,2,8340000
spa,Romance,ieur,25,20,9,11,5,5,5,0,28200000
spl,Finisterre-Huon,trng,21,15,10,5,6,6,6,0,7000
spo,Interior Salish,sali,43,38,13,25,5,5,5,0,50
spy,,nsah,31,13,8,5,18,18,10,0,279000
sqt,Semitic,afas,34,28,16,12,6,6,6,0,57000
squ,Central Salish,sali,37,30,5,25,7,7,4,0,15
srq,Tupi-GuaranÃ­,tupi,28,18,7,11,10,10,5,0,400
srr,,ncon,43,33,13,20,10,10,5,0,1130000
ssg,,anes,28,11,5,6,17,10,5,0,1000
sso,,anes,46,37,8,29,9,9,9,0,300
stc,Oceanic,epap,47,30,21,9,17,16,9,0,4280
str,Central Salish,sali,40,35,13,22,5,5,5,0,20
stw,,anes,42,29,15,14,13,13,8,0,460
sue,Binanderean,trng,18,13,9,4,5,5,5,0,3000
sun,Sundanese,anes,26,19,8,11,7,7,7,0,34000000
suq,Surmic,nsah,31,22,8,14,7,7,7,2,19600
sur,West Chadic,afas,37,25,8,17,12,12,6,0,295000
sus,Western Mande,ncon,35,21,9,12,14,14,7,0,906000
svr,,drav,30,19,8,11,11,11,11,0,20200
svs,Savosavo,epap,22,17,10,7,5,5,5,0,2420
swe,Germanic,ieur,35,18,5,13,17,17,9,0,7910000
swh,Bantoid,ncon,36,31,10,21,5,5,5,0,350000
swi,Kam-Tai,taik,54,47,25,22,7,7,7,0,200000
sxm,,ausa,41,20,8,12,21,18,9,0,50
sza,Aslian,ausa,50,32,17,15,18,18,10,0,6418
taj,Bodic,sitb,29,19,7,12,10,10,10,0,759000
tam,Southern Dravidian,drav,33,21,10,11,12,10,5,0,61500000
taq,Berber,afas,43,22,7,15,21,21,7,0,250000
tav,Tucanoan,tucn,17,11,3,8,6,6,6,0,400
tay,Atayalic,anes,27,19,7,12,8,8,5,0,84300
tba,Arawakan,arwk,32,22,10,12,10,10,7,0,180
tbi,Eastern Jebel,nsah,33,24,8,16,9,9,9,0,67200
tbz,,ncon,32,17,7,10,12,12,7,3,120000
tca,Ticuna,_tca,38,18,6,12,11,11,6,9,32600
tcb,Athapaskan,nadn,54,35,10,25,14,14,6,5,35
tcy,Southern Dravidian,drav,37,24,10,14,13,13,7,0,1950000
tdh,Bodic,sitb,38,30,7,23,8,8,8,0,30000
