language,genus,fam,phonemes,con,son,obs,vow,monoph,qua,ton,population
bfw,Munda,ausa,27,21,9,12,6,6,6,0,9000
bgj,,ncon,40,27,7,20,9,9,9,4,13500
bgo,,ncon,25,17,8,9,8,8,8,0,5000
bhg,Binanderean,trng,35,11,4,7,24,10,5,0,7000
bhw,South Halmahera - West New Guinea,anes,24,14,6,8,10,10,5,0,30000
bhy,,ncon,28,19,6,13,7,7,7,2,15000
bib,Eastern Mande,ncon,24,18,8,10,6,6,6,0,350000
bim,Gur,ncon,44,22,9,13,18,18,6,4,120000
bin,Edoid,ncon,48,25,9,16,21,21,7,2,1000000
biw,,ncon,55,28,17,11,23,16,9,4,12000
bjr,Eastern Highlands,trng,16,11,5,6,5,5,3,0,360
bjz,,trng,24,14,4,10,10,10,5,0,2230
bkc,Ubangi,ncon,38,25,11,14,7,7,7,6,40000
bkh,,ncon,33,26,13,13,7,7,7,0,50000
bkk,Indic,ieur,41,31,5,26,10,10,5,0,10000
bkm,Bantoid,ncon,75,59,30,29,9,9,9,7,233000
bkq,Cariban,cari,29,17,10,7,12,12,7,0,950
bkv,,ncon,36,23,9,14,10,10,5,3,100000
bla,Algonquian,algi,25,13,5,8,12,12,7,0,4500
blb,Bilua,epap,41,16,6,10,25,5,5,0,8740
blc,Bella Coola,sali,31,28,7,21,3,3,3,0,20
blk,,sitb,34,20,7,13,11,9,9,3,560000
blr,,ausa,40,24,12,12,14,14,14,2,42000
bmo,,ncon,57,34,16,18,18,18,10,5,29000
bmr,Boran,wita,28,22,5,17,6,6,6,0,150
bnm,,ncon,31,20,10,10,8,8,8,3,9000
bod,Bodic,sitb,38,24,8,16,8,8,8,6,1070000
bol,West Chadic,afas,38,28,12,16,10,10,5,0,100000
bom,Platoid,ncon,29,22,7,15,7,7,7,0,300000
bor,Bororo,macg,20,13,7,6,7,7,7,0,1020
bot,Bongo-Bagirmi,nsah,29,18,6,12,11,11,6,0,10100
bqc,Eastern Mande,ncon,34,19,5,14,12,12,7,3,70000
bqx,,ncon,56,28,6,22,27,27,9,1,15000
brb,Bahnaric,ausa,31,22,8,14,9,9,9,0,12800
bre,Celtic,ieur,42,25,10,15,17,17,8,0,500000
brh,Northern Dravidian,drav,33,24,6,18,9,9,4,0,2000000
brv,Katuic,ausa,42,20,12,8,22,22,22,0,20000
brx,Bodo-Garo,sitb,21,15,6,9,6,6,6,0,1540000
bsk,Burushaski,_bsk,53,38,7,31,12,12,5,3,87000
bsp,Southern Atlantic,ncon,26,18,7,11,8,8,8,0,4000
bsq,,ncon,36,22,5,17,7,7,7,7,403000
bss,,ncon,44,22,11,11,18,18,8,4,100000
btg,,ncon,51,23,7,16,26,26,13,2,150000
btx,Sumatra,anes,21,16,7,9,5,5,5,0,600000
bud,Gur,ncon,30,21,9,12,6,6,4,3,100000
bul,Slavic,ieur,49,37,9,28,12,12,6,0,7990000
bum,Bantoid,ncon,36,24,12,12,7,7,7,5,858000
bvm,,ncon,32,23,7,16,9,9,9,0,31000
bvr,Burarran,aust,21,16,11,5,5,5,5,0,700
bwi,Arawakan,arwk,37,25,9,16,12,4,4,0,5460
bwo,North Omotic,afas,25,16,7,9,6,6,6,3,19900
bwq,Western Mande,ncon,38,19,6,13,19,19,7,0,312000
bwt,,ncon,47,27,7,20,16,16,8,4,8400
bxk,Bantoid,ncon,30,20,12,8,10,10,5,0,565000
byv,,ncon,25,16,6,10,9,9,9,0,210000
byx,Baining,epap,22,14,9,5,8,5,5,0,6350
bza,Western Mande,ncon,48,23,10,13,21,21,7,4,100000
bzd,Talamanca,chib,27,18,11,7,9,9,5,0,11000
bzf,Middle Sepik,sepr,25,17,9,8,8,8,8,0,31300
bzx,,ncon,34,20,8,12,14,14,7,0,118000
cad,Caddoan,cadd,23,20,11,9,3,3,3,0,25
cag,Matacoan,mgua,28,22,13,9,6,6,6,0,13700
cao,Panoan,pano,21,17,5,12,4,4,4,0,550
caq,Nicobarese,ausa,25,16,9,7,9,9,9,0,37000
car,Cariban,cari,28,16,6,10,12,12,6,0,4450
cas,Mosetenan,_cas,38,26,7,19,12,12,5,0,5320
cat,Romance,ieur,39,27,14,13,12,8,8,0,11200000
cav,Tacanan,taca,24,20,7,13,4,4,4,0,1180
cbi,Barbacoan,barb,28,24,9,15,4,4,4,0,9500
cbn,Monic,ausa,50,26,15,11,24,18,18,0,1500
cbv,Cacua-Nukak,maku,22,12,5,7,10,10,5,0,150
ccc,,arwk,29,19,8,11,10,10,5,0,2
cdm,Bodic,sitb,24,18,7,11,6,6,6,0,36800
cdo,Chinese,sitb,21,14,9,5,7,7,7,0,8820000
ces,Slavic,ieur,38,25,7,18,13,10,5,0,9250000
cha,Chamorro,anes,36,30,11,19,6,6,6,0,62500
che,Nakh,ncau,44,32,6,26,12,12,6,0,1330000
chf,Mayan,maya,37,25,7,18,12,12,6,0,38000
cho,Muskogean,musk,21,15,5,10,6,6,3,0,11400
chp,Athapaskan,nadn,61,39,6,33,18,18,6,4,9030
chq,Chinantecan,otma,41,26,16,10,15,15,8,0,8000
chr,Southern Iroquoian,iroq,17,11,5,6,6,6,5,0,16400
chv,Turkic,altc,39,30,14,16,9,9,8,0,1640000
cic,Muskogean,musk,25,16,5,11,9,9,3,0,1000
cja,Malayic,anes,35,24,8,16,9,9,9,2,290000
cjv,Chimbu,trng,17,12,5,7,5,5,5,0,23100
cko,Kwa,ncon,43,22,8,14,19,19,7,2,66000
ckt,Northern Chukotko-Kamchatkan,chka,22,15,5,10,7,7,6,0,7740
cku,Muskogean,musk,25,15,5,10,6,6,3,4,200
cle,Chinantecan,otma,35,28,9,19,7,7,7,0,2000
cme,Gur,ncon,46,21,7,14,21,21,7,4,61400
cmn,Chinese,sitb,49,24,9,15,21,6,6,4,840000000
cnh,Kuki-Chin,sitb,52,45,22,23,7,7,6,0,100000
cni,Arawakan,arwk,21,17,6,11,4,4,4,0,26100
cof,Barbacoan,barb,25,16,6,10,9,9,5,0,2300
cog,,ausa,40,21,8,13,19,18,9,0,5000
com,Numic,utaz,18,12,4,8,6,6,6,0,200
con,CofÃ¡n,chib,35,30,11,19,5,5,5,0,800
coo,Central Salish,sali,42,37,11,26,5,5,5,0,400
cou,Northern Atlantic,ncon,46,39,21,18,7,7,7,0,18400
cqd,Hmong-Mien,hmom,56,46,24,22,10,6,6,0,1400000
crd,Interior Salish,sali,47,41,13,28,6,6,6,0,5
cro,Siouan,siou,23,10,2,8,10,10,5,3,4280
crw,Bahnaric,ausa,33,20,8,12,13,11,3,0,22600
cso,Chinantecan,otma,39,18,5,13,14,14,7,7,5800
ctd,Kuki-Chin,sitb,26,21,6,15,5,5,5,0,189000
ctp,Zapotecan,otma,25,16,9,7,9,9,5,0,12000
ctu,Mayan,maya,26,20,5,15,6,6,6,0,90000
cub,Tucanoan,tucn,23,11,1,10,12,12,6,0,6650
cuv,,afas,29,27,10,17,2,2,2,0,5000
daa,East Chadic,afas,28,21,11,10,7,7,7,0,45000
daf,Eastern Mande,ncon,39,19,5,14,20,20,12,0,800000
dag,Gur,ncon,37,26,10,16,9,9,4,2,800000
daj,Daju,nsah,30,24,9,15,6,6,6,0,80000
dal,Southern Cushitic,afas,59,54,18,36,5,5,5,0,400
dap,Tani,sitb,27,16,6,10,9,9,9,2,261000
dbj,Northwest Malayo-Polynesian,anes,23,17,7,10,6,6,6,0,5000
dbl,Pama-Nyungan,aust,16,13,9,4,3,3,3,0,40
dbq,Biu-Mandara,afas,47,36,13,23,6,6,6,5,24000
deu,Germanic,ieur,39,23,6,17,16,16,8,0,75300000
dga,Gur,ncon,54,24,8,16,27,27,9,3,700000
dgi,,ncon,41,29,9,20,9,9,9,3,388000
dic,Kru,ncon,57,27,8,19,27,27,9,3,93800
dih,Yuman,hoka,34,25,10,15,9,9,5,0,220
dip,Nilotic,nsah,32,19,9,10,13,13,13,0,320000
diq,Iranian,ieur,44,30,8,22,14,8,8,0,1000000
dje,Songhay,nsah,40,20,8,12,16,16,5,4,2350000
dni,Dani,trng,24,12,7,5,12,7,7,0,20000
dob,,anes,24,19,6,13,5,5,5,0,10000
doc,Kam-Tai,taik,27,20,10,10,7,7,7,0,463000
dop,,ncon,37,17,8,9,20,20,10,0,50000
dow,Adamawa,ncon,34,22,12,10,12,12,7,0,18000
dru,Tsouic,anes,27,23,8,15,4,4,4,0,10500
dta,Mongolic,altc,29,22,9,13,7,7,7,0,96100
dts,Dogon,ncon,28,16,10,6,12,12,7,0,50000
dua,Bantoid,ncon,33,21,11,10,7,7,7,5,87700
dug,,ncon,49,42,16,26,5,5,5,2,247000
duj,Pama-Nyungan,aust,23,20,13,7,3,3,3,0,3650
duo,Northern Philippines,anes,20,15,6,9,5,5,5,0,1200
dyo,Northern Atlantic,ncon,29,19,8,11,10,10,10,0,340000
dyu,Western Mande,ncon,39,23,8,15,14,14,7,2,1000000
dzg,Western Saharan,nsah,32,21,8,13,11,11,11,0,331000
efi,Cross River,ncon,20,13,6,7,7,7,7,0,400000
ega,Kwa,ncon,39,27,7,20,9,9,9,3,2500
ego,,ncon,42,30,9,21,7,7,7,5,140000
ekg,Wissel Lakes-Kemandoga,trng,15,10,4,6,5,5,5,0,100000
ekm,,ncon,30,19,7,12,7,7,7,4,6400
ekp,,ncon,37,24,7,17,9,9,9,4,30000
ell,Greek,ieur,26,21,5,16,5,5,5,0,10700000
ema,Edoid,ncon,48,27,8,19,21,21,7,0,100000
emk,Western Mande,ncon,36,20,7,13,14,14,7,2,1890000
enb,,nsah,36,13,8,5,20,20,10,3,161000
eng,Germanic,ieur,40,27,7,20,13,13,8,0,58100000
enn,Edoid,ncon,33,20,6,14,10,10,10,3,20000
erk,Oceanic,anes,20,15,9,6,5,5,5,0,6000
esi,Eskimo,eska,27,24,9,15,3,3,3,0,6420
ess,Eskimo,eska,36,32,16,16,4,4,4,0,830
ets,Edoid,ncon,36,26,7,19,7,7,7,3,274000
etu,Bantoid,ncon,27,20,7,13,7,7,7,0,67300
eus,Basque,basq,28,23,7,16,5,5,5,0,580000
eve,Tungusic,altc,36,21,10,11,15,15,8,0,7170
ewe,Kwa,ncon,45,28,10,18,14,14,7,3,2250000
ewo,Bantoid,ncon,34,26,13,13,8,8,8,0,578000
faa,Fasu,trng,21,11,5,6,10,10,5,0,1200
fai,,trng,20,12,5,7,8,5,5,0,4500
fan,,ncon,41,25,13,12,16,16,8,0,297000
ffm,Northern Atlantic,ncon,37,27,12,15,10,10,5,0,1000000
fia,Nubian,nsah,45,33,14,19,10,10,5,2,295000
fij,Oceanic,anes,30,19,11,8,11,5,5,0,330000
fil,,anes,27,17,7,10,10,10,5,0,25000000
fin,Finnic,urlc,42,25,9,16,17,17,9,0,4700000
flr,,ncon,35,25,12,13,10,10,5,0,300000
fmp,Bantoid,ncon,25,17,8,9,8,8,8,0,124000
fon,Kwa,ncon,42,24,7,17,14,14,7,4,1400000
fra,Romance,ieur,40,23,10,13,17,17,12,0,53200000
frr,Germanic,ieur,42,23,8,15,19,13,7,0,10000
fub,Northern Atlantic,ncon,37,27,12,15,10,10,5,0,669000
fuc,Northern Atlantic,ncon,38,28,12,16,10,10,5,0,2740000
fuf,Northern Atlantic,ncon,38,28,12,16,10,10,5,0,2550000
fuh,Northern Atlantic,ncon,32,27,12,15,5,5,5,0,450000
fun,YatÃª,macg,30,18,8,10,12,12,7,0,2930
fuq,,ncon,37,27,12,15,10,10,5,0,450000
fur,,ieur,39,25,7,18,14,14,7,0,794000
fuu,Bongo-Bagirmi,nsah,41,31,13,18,10,7,7,0,12000
fvr,Fur,nsah,30,19,8,11,11,11,8,0,500000
fwa,Oceanic,anes,35,19,8,11,16,15,8,0,1130
fwe,,ncon,59,49,15,34,10,10,5,0,10200
gaa,Kwa,ncon,47,32,13,19,12,12,7,3,600000
gaj,Eastern Highlands,trng,19,9,3,6,6,6,3,4,22100
gay,Gayo,anes,27,19,8,11,8,8,8,0,300000
gbc,Garrwan,aust,22,19,13,6,3,3,3,0,110
gbd,Pama-Nyungan,aust,20,17,12,5,3,3,3,0,12
gbo,,ncon,36,19,7,12,13,13,7,4,84500
gbp,Ubangi,ncon,45,31,15,16,12,12,7,2,200000
gbr,Nupoid,ncon,26,20,6,14,6,6,5,0,700000
gby,Nupoid,ncon,31,24,5,19,7,7,7,0,350000
gde,Biu-Mandara,afas,36,30,12,18,4,4,4,2,68000
gej,,ncon,44,27,7,20,14,14,7,3,201000
gid,Biu-Mandara,afas,38,28,9,19,8,8,8,2,54000
gio,Kadai,taik,43,31,17,14,12,7,7,0,3000
gjn,,ncon,39,23,8,15,14,14,7,2,230000
gju,Indic,ieur,50,32,10,22,18,18,4,0,690000
gkp,,ncon,35,27,8,19,8,8,8,0,308000
gld,Tungusic,altc,24,18,9,9,6,6,6,0,3890
gle,Celtic,ieur,68,44,21,23,24,24,9,0,260000
glg,Romance,ieur,28,21,10,11,7,7,7,0,3170000
gmm,Ubangi,ncon,37,28,13,15,7,7,7,2,20000
gmo,North Omotic,afas,29,24,14,10,5,5,5,0,400000
gnd,,afas,34,29,11,18,2,2,2,3,26000
gng,,ncon,39,22,9,13,14,14,7,3,46000
god,Kru,ncon,42,26,8,18,13,13,13,3,26400
grg,,trng,54,45,20,25,9,9,9,0,380
grt,Bodo-Garo,sitb,26,21,10,11,5,5,5,0,780000
gub,Tupi-GuaranÃ­,tupi,21,14,6,8,7,7,7,0,15000
guc,Arawakan,arwk,46,28,10,18,18,18,6,0,135000
gug,Tupi-GuaranÃ­,tupi,36,24,9,15,12,12,6,0,4650000
guh,Guahiban,guah,29,17,5,12,12,12,6,0,23000
gum,Barbacoan,barb,24,18,7,11,6,6,6,0,23500
gup,Gunwinygic,aust,24,19,13,6,5,5,5,0,1410
guq,Tupi-GuaranÃ­,tupi,21,11,6,5,10,10,5,0,1360
gux,Gur,ncon,33,20,8,12,10,10,5,3,600000
gvc,Tucanoan,tucn,24,16,3,13,6,6,6,2,550
gvf,Chimbu,trng,23,13,6,7,10,10,5,0,51100
gvn,Pama-Nyungan,aust,16,13,10,3,3,3,3,0,240
gya,Ubangi,ncon,53,30,14,16,19,19,7,4,200000
hag,,ncon,29,23,8,15,6,6,6,0,6800
hak,Chinese,sitb,31,21,8,13,6,6,6,4,25700000
hau,West Chadic,afas,45,32,9,23,10,10,5,3,18500000
haw,Oceanic,anes,19,9,4,5,10,10,5,0,1000
hay,Bantoid,ncon,29,19,6,13,10,10,5,0,1300000
hch,Corachol,utaz,25,15,6,9,10,10,5,0,20000
hdn,Haida,nadn,50,47,13,34,3,3,3,0,30
heb,Semitic,afas,30,24,5,19,6,6,5,0,4850000
hin,Indic,ieur,94,71,16,55,23,19,6,0,180000000
hix,Cariban,cari,23,18,7,11,5,5,5,0,600
hoa,Oceanic,anes,21,16,5,11,5,5,5,0,460
hop,Hopi,utaz,49,31,13,18,18,16,5,0,5260
hrv,Slavic,ieur,36,25,8,17,11,10,5,0,3980000
hts,Hadza,khoi,62,57,17,40,5,5,5,0,800
hum,,ncon,33,20,7,13,10,10,5,3,400
hun,Ugric,urlc,65,50,14,36,15,15,8,0,9550000
hup,Athapaskan,nadn,42,35,6,29,7,7,4,0,8
hur,Central Salish,sali,47,32,7,25,12,12,6,3,200
hus,,maya,36,26,6,20,10,10,5,0,121750
huv,Huavean,huav,24,18,7,11,6,6,6,0,12000
hye,Armenian,ieur,37,31,6,25,6,6,6,0,3140000
iai,Oceanic,anes,52,33,14,19,19,19,11,0,1560
iba,Malayic,anes,25,19,8,11,6,6,6,0,658000
ibo,Igboid,ncon,65,46,11,35,16,16,8,3,18000000
iby,,ncon,38,25,8,17,10,10,10,3,60000
ife,,ncon,34,19,4,15,12,12,7,3,102000
igb,Nupoid,ncon,31,19,7,12,9,9,9,3,1000000
ige,Idomoid,ncon,38,24,9,15,10,10,10,4,250000
ign,Arawakan,arwk,25,21,8,13,4,4,4,0,4500
igo,,trng,23,9,2,7,14,14,7,0,910
ijc,Ijoid,ncon,37,19,7,12,18,18,9,0,1000000
ijn,,ncon,43,22,6,16,18,18,9,3,258000
ijs,,ncon,44,24,7,17,18,18,9,2,71500
ikx,Kuliak,nsah,44,31,11,20,13,13,13,0,10000
ilo,Northern Philippines,anes,21,17,7,10,4,4,4,0,6920000
imn,Border,trng,23,13,4,9,10,10,10,0,250
ind,Malayic,anes,31,22,8,14,9,6,6,0,22800000
inh,Nakh,ncau,48,35,6,29,13,9,6,0,413000
irh,South Halmahera - West New Guinea,anes,19,12,7,5,7,7,7,0,4000
irk,Southern Cushitic,afas,48,33,8,25,12,12,7,3,462000
irn,Arawakan,arwk,39,21,11,10,18,12,6,0,190
isl,Germanic,ieur,39,23,10,13,16,16,8,0,230000
iso,Edoid,ncon,37,28,9,19,9,9,9,0,423000
ita,Romance,ieur,30,23,8,15,7,7,7,0,55000000
itl,Southern Chukotko-Kamchatkan,chka,32,27,11,16,5,5,5,0,380
ito,Itonama,_ito,25,19,6,13,6,6,6,0,10
ium,Hmong-Mien,hmom,49,35,15,20,8,8,7,6,383000
ivv,Northern Philippines,anes,23,19,8,11,4,4,4,0,35000
iwm,Upper Sepik,sepr,17,11,6,5,6,6,6,0,3000
izi,Igboid,ncon,51,40,12,28,9,9,9,2,593000
jaa,Arauan,arau,15,11,5,6,4,4,4,0,480
jac,Mayan,maya,32,27,7,20,5,5,5,0,11000
jao,Pama-Nyungan,aust,32,29,22,7,3,3,3,0,52
jar,Bantoid,ncon,39,28,9,19,11,11,11,0,150000
jav,Javanese,anes,30,22,9,13,8,8,8,0,84300000
jbj,South Birds Head,trng,18,13,3,10,5,5,5,0,1000
jeb,Cahuapanan,cahu,23,19,12,7,4,4,4,0,2500
jic,Tol,_jic,28,22,12,10,6,6,6,0,350
jiv,Jivaroan,jiva,24,16,6,10,8,8,4,0,46700
jpn,Japanese,japo,40,27,6,21,11,11,5,2,121000000
jqr,Aymaran,ayma,39,36,9,27,3,3,3,0,740
jru,Cariban,cari,24,12,5,7,12,12,6,0,95
jun,Munda,ausa,29,19,8,11,10,10,5,0,50000
jup,Nadahup,maku,29,20,4,16,9,9,9,0,1210
jya,rGyalrong,sitb,57,49,16,33,8,8,8,0,83000
kab,Berber,afas,30,27,3,24,3,3,3,0,2540000
kac,Jinghpo,sitb,30,25,13,12,5,5,5,0,900000
kal,Eskimo,eska,38,32,9,23,6,6,3,0,47800
kas,Indic,ieur,56,27,6,21,29,29,7,0,5420000
kat,Kartvelian,kart,35,29,5,24,6,6,5,0,3900000
kbc,Guaicuruan,mgua,31,23,10,13,8,8,4,0,1590
kbd,Northwest Caucasian,ncau,56,49,5,44,7,7,2,0,520000
kbh,CamsÃ¡,_kbh,28,22,8,14,6,6,6,0,4770
kbk,Koiarian,trng,16,11,3,8,5,5,5,0,1700
kbp,Gur,ncon,47,22,7,15,23,23,14,2,700000
kbr,South Omotic,afas,27,22,9,13,5,5,5,0,570000
kbv,Senagi,trng,17,11,7,4,6,6,6,0,1000
kca,Ugric,urlc,31,18,9,9,13,13,13,0,13600
kcl,Oceanic,anes,30,16,7,9,14,10,5,0,2150
kde,Bantoid,ncon,28,18,7,11,5,5,5,5,980000
kdh,Gur,ncon,36,25,9,16,9,9,9,2,204000
kdt,,ausa,47,22,8,14,25,22,11,0,400000
kek,Mayan,maya,26,21,5,16,5,5,5,0,400000
ken,Bantoid,ncon,41,21,7,14,20,20,10,0,65000
ker,East Chadic,afas,30,24,8,16,6,6,6,0,44500
ket,Yeniseian,yeos,32,18,6,12,14,14,7,0,190
kfe,Southern Dravidian,drav,34,23,9,14,11,11,6,0,900
kff,South-Central Dravidian,drav,24,19,7,12,5,5,5,0,300000
kfk,Bodic,sitb,46,31,8,23,15,15,9,0,63800
kgg,Kusunda,sitb,38,32,9,23,6,6,6,0,7
kgp,Ge-Kaingang,macg,27,13,7,6,14,14,9,0,25875
kha,Khasian,ausa,28,19,6,13,9,9,8,0,865000
khb,Kam-Tai,taik,31,22,5,17,9,9,9,0,280000
khc,Sulawesi,anes,29,24,12,12,5,5,5,0,120000
khk,Mongolic,altc,35,21,6,15,14,14,7,0,2330000
khl,Oceanic,anes,28,18,9,9,10,10,5,0,2000
khm,Khmer,ausa,42,21,8,13,21,18,8,0,12300000
khq,Songhay,nsah,36,21,8,13,15,15,5,0,200000
khr,Munda,ausa,48,38,14,24,10,6,6,0,292000
kig,Kolopom,trng,44,20,7,13,20,18,9,4,3000
kik,Bantoid,ncon,32,18,11,7,14,14,7,0,7180000
kin,Bantoid,ncon,49,39,11,28,10,10,5,0,6490000
kio,Kiowa-Tanoan,kita,42,22,4,18,20,12,6,0,1100
kir,Turkic,altc,36,20,6,14,16,16,8,0,2450000
kjd,Kiwaian,trng,19,12,7,5,7,5,5,0,9700
kjg,Palaung-Khmuic,ausa,41,23,14,9,18,15,5,0,390000
kjn,Pama-Nyungan,aust,28,23,10,13,5,5,5,0,20
kjq,Keresan,kere,51,39,10,29,12,5,5,0,3390
kjs,Engan,trng,20,15,9,6,5,5,5,0,45000
kkj,,ncon,50,33,14,19,13,13,7,4,100000
kkk,Oceanic,anes,27,22,10,12,5,5,5,0,530
kkw,Bantoid,ncon,28,21,8,13,7,7,7,0,38800
kla,Klamath-Modoc,penu,37,33,14,19,4,4,4,0,1
kle,Bodic,sitb,43,22,7,15,21,12,6,0,18700
klu,Kru,ncon,27,11,4,7,16,16,9,0,213000
kma,Gur,ncon,49,31,13,18,18,18,9,0,3800
kme,,ncon,34,27,14,13,7,7,7,0,300
kmn,Ram,sepr,18,11,7,4,7,7,7,0,510
kmo,Middle Sepik,sepr,31,24,13,11,7,7,7,0,3000
kmr,Iranian,ieur,47,30,9,21,17,9,4,0,3950000
kms,Marienberg,torr,29,23,11,12,6,6,6,0,960
kmw,,ncon,35,24,9,15,7,7,7,4,400000
kna,West Chadic,afas,35,24,13,11,11,11,6,0,20000
knc,Western Saharan,nsah,35,25,9,16,6,6,6,4,3000000
knn,Indic,ieur,37,19,6,13,18,18,9,0,4000000
kor,Korean,_kor,40,22,11,11,18,18,10,0,42000000
kpk,Platoid,ncon,34,24,6,18,10,10,5,0,11400
kpm,Bahnaric,ausa,37,27,10,17,10,10,10,0,129000
kpr,Binanderean,trng,24,19,9,10,5,5,5,0,3630
kpv,Finnic,urlc,36,29,8,21,7,7,7,0,217000
kpy,Northern Chukotko-Kamchatkan,chka,21,16,7,9,5,5,5,0,3500
kpz,Nilotic,nsah,26,14,11,3,12,12,6,0,181000
kqs,Southern Atlantic,ncon,42,22,10,12,20,20,7,0,287000
krs,Kresh,nsah,56,41,14,27,10,10,10,5,16000
kru,Northern Dravidian,drav,68,46,13,33,22,22,6,0,2050000
ksi,Krisa,skoo,18,9,2,7,5,5,5,4,420
ksw,Karen,sitb,39,27,8,19,9,9,9,3,1280000
ktn,Arikem,tupi,25,11,6,5,14,14,5,0,320
kto,Kuot,epap,19,13,5,8,6,6,6,0,2400
ktz,Northern Khoisan,khoi,141,95,21,74,46,24,7,0,5000
kub,,ncon,46,28,13,15,13,13,7,5,44600
kuj,,ncon,22,15,8,7,7,7,7,0,430000
kun,Kunama,nsah,26,19,8,11,7,7,7,0,187000
kup,Goilalan,trng,20,15,5,10,5,5,5,0,8200
kus,,ncon,44,22,8,14,22,22,9,0,420000
kvn,Kuna,chib,21,16,9,7,5,5,5,0,500
kwd,Oceanic,anes,21,16,10,6,5,5,5,0,13200
kwi,Barbacoan,barb,21,14,6,8,7,7,7,0,20000
kwk,Northern Wakashan,waka,55,46,14,32,9,9,6,0,190
kxl,,drav,39,34,12,22,5,5,5,0,28600
kxm,,ausa,43,24,11,13,19,16,3,0,1400000
kxv,South-Central Dravidian,drav,37,22,8,14,15,15,5,0,350000
kyh,Karok,hoka,41,27,6,21,11,11,4,3,10
kyz,Tupi-GuaranÃ­,tupi,24,14,6,8,10,10,5,0,1000
kza,Gur,ncon,45,20,7,13,21,21,7,4,30200
kzr,,ncon,40,30,12,18,6,6,6,4,17000
lag,Bantoid,ncon,52,32,17,15,20,20,10,0,350000
lao,Kam-Tai,taik,40,28,9,19,12,9,9,0,3000000
las,,ncon,53,17,8,9,33,33,11,3,117000
lbc,Kadai,taik,59,34,17,17,19,19,5,6,12000
lbe,Lak-Dargwa,ncau,69,60,6,54,9,9,6,0,157000
lbj,Bodic,sitb,38,33,8,25,5,5,5,0,150000
lch,Bantoid,ncon,42,32,16,16,10,10,5,0,155000
led,Lendu,nsah,55,43,14,29,8,8,8,4,750000
lee,Gur,ncon,44,24,10,14,16,16,8,4,130000
lef,Kwa,ncon,34,22,7,15,12,12,7,0,48900
lem,,ncon,30,14,7,7,14,14,7,2,6000
lgg,Moru-Madi,nsah,42,27,11,16,12,12,11,3,797000
lhu,Burmese-Lolo,sitb,40,26,6,20,9,9,9,5,280000
lia,,ncon,24,17,7,10,7,7,7,0,335000
lig,,ncon,38,22,7,15,14,14,7,2,15000
lin,Bantoid,ncon,22,15,7,8,7,7,7,0,2040000
lis,Burmese-Lolo,sitb,39,25,6,19,8,8,8,6,610000
lit,Baltic,ieur,47,36,9,27,11,11,5,0,2960000
lkt,Siouan,siou,36,27,4,23,9,9,5,0,6200
lln,East Chadic,afas,36,23,9,14,10,10,5,3,26000
lme,Masa,afas,38,30,11,19,8,5,5,0,30000
lmp,,ncon,35,22,7,15,7,7,7,6,73000
lmw,Miwok,penu,39,29,6,23,10,10,5,0,2
lns,Bantoid,ncon,45,26,8,18,12,12,6,7,125000
lok,Western Mande,ncon,25,18,7,11,7,7,7,0,138000
lom,Western Mande,ncon,42,28,8,20,14,14,8,0,165000
lor,,ncon,38,28,11,17,10,10,10,0,6100
los,Oceanic,anes,23,16,9,7,7,7,7,0,460
lue,Bantoid,ncon,36,22,12,10,10,10,5,4,168000
lug,Bantoid,ncon,33,19,7,12,10,10,5,4,4130000
lui,Takic,utaz,34,23,7,16,11,11,6,0,35
lun,Bantoid,ncon,32,22,7,15,10,10,5,0,450000
luo,Nilotic,nsah,35,23,8,15,9,9,9,3,4270000
lut,Central Salish,sali,37,33,2,31,4,4,4,0,60
lvk,Lavukaleve,epap,20,15,6,9,5,5,5,0,1780
lyn,,ncon,22,17,7,10,5,5,5,0,222000
lzz,Kartvelian,kart,32,27,4,23,5,5,5,0,30000
mam,,maya,43,33,7,26,10,10,5,0,200000
maq,Popolocan,otma,38,26,12,14,8,8,4,4,2500
mas,Nilotic,nsah,43,21,11,10,18,18,9,4,590000
maw,Gur,ncon,32,22,8,14,10,10,5,0,220000
maz,Otomian,otma,63,45,15,30,15,15,9,3,350000
mbl,MaxakalÃ­,macg,20,10,4,6,10,10,5,0,800
mbo,,ncon,31,20,7,13,7,7,7,4,45000
mcf,Panoan,pano,21,15,4,11,6,6,6,0,1400
mcp,Bantoid,ncon,55,30,15,15,21,21,9,4,80000
mcs,Adamawa,ncon,54,26,10,16,24,24,10,4,8000
mcu,Bantoid,ncon,25,19,7,12,6,6,6,0,30000
mdd,Adamawa,ncon,38,30,14,16,8,8,5,0,38600
mde,Maban,nsah,29,22,10,12,7,7,7,0,296000
mdj,Mangbetu,nsah,47,36,16,20,9,9,9,2,620000
mdx,North Omotic,afas,30,24,12,12,6,6,6,0,21100
mec,Maran,aust,24,19,13,6,5,5,5,0,15
men,Western Mande,ncon,34,23,10,13,7,7,7,4,1480000
mfc,Ubangi,ncon,31,24,13,11,7,7,7,0,36100
mff,,ncon,44,36,10,26,8,8,8,0,3000
mfn,,ncon,37,28,8,20,7,7,7,2,100000
mgg,,ncon,38,29,11,18,7,7,7,2,45000
mgi,,ncon,48,29,9,20,16,16,9,3,50000
mgo,,ncon,33,20,6,14,8,8,8,5,87000
mhi,Moru-Madi,nsah,38,24,8,16,10,10,10,4,296000
mhj,Mongolic,altc,29,24,11,13,5,5,5,0,200
